Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:17.727,1.083669,12:33:17.727,41.183155,12:33:17.727,0.003955,65
12:33:17.728,0.999249,12:33:17.728,41.183155,12:33:17.728,0.002969,65
12:33:17.729,1.033017,12:33:17.729,41.233807,12:33:17.729,0.001982,65
12:33:17.730,1.033017,12:33:17.730,41.318227,12:33:17.730,0.00264,65
12:33:17.731,1.049901,12:33:17.731,41.250691,12:33:17.731,0.001653,65
12:33:17.732,1.117437,12:33:17.732,41.216923,12:33:17.732,0.003626,65
12:33:17.733,1.117437,12:33:17.733,41.166271,12:33:17.733,0.004284,65
12:33:17.734,1.134321,12:33:17.734,41.284459,12:33:17.734,0.00264,65
12:33:17.735,1.286277,12:33:17.735,41.216923,12:33:17.735,0.00264,65
12:33:17.736,1.320045,12:33:17.736,41.216923,12:33:17.736,0.004284,65
12:33:17.737,1.404465,12:33:17.737,41.216923,12:33:17.737,0.002311,65
12:33:17.738,1.539537,12:33:17.738,41.335111,12:33:17.738,0.001982,65
12:33:17.739,1.623957,12:33:17.739,41.301343,12:33:17.739,0.004284,65
12:33:17.740,1.759029,12:33:17.740,41.318227,12:33:17.740,0.003955,65
12:33:17.741,1.826565,12:33:17.741,41.284459,12:33:17.741,0.005599,65
12:33:17.742,1.927869,12:33:17.742,41.385763,12:33:17.742,0.002311,65
12:33:17.743,2.012289,12:33:17.743,41.284459,12:33:17.743,0.003297,65
12:33:17.744,2.046057,12:33:17.744,41.351995,12:33:17.744,0.003955,65
12:33:17.745,2.130477,12:33:17.745,41.351995,12:33:17.745,0.004612,65
12:33:17.746,2.164245,12:33:17.746,41.453299,12:33:17.746,0.002969,65
12:33:17.747,2.231781,12:33:17.747,41.470183,12:33:17.747,0.001325,65
12:33:17.748,2.198013,12:33:17.748,41.453299,12:33:17.748,0.003626,65
12:33:17.749,2.282433,12:33:17.749,41.402647,12:33:17.749,0.002969,65
12:33:17.750,2.248665,12:33:17.750,41.385763,12:33:17.750,0.00264,65
12:33:17.751,2.248665,12:33:17.751,41.368879,12:33:17.751,0.002311,65
12:33:17.752,2.248665,12:33:17.752,41.385763,12:33:17.752,0.003297,65
12:33:17.753,2.231781,12:33:17.753,41.318227,12:33:17.753,0.002311,65
12:33:17.754,2.147361,12:33:17.754,41.368879,12:33:17.754,0.001653,65
12:33:17.755,2.130477,12:33:17.755,41.402647,12:33:17.755,0.002969,65
12:33:17.756,2.079825,12:33:17.756,41.183155,12:33:17.756,0.003626,65
12:33:17.757,2.046057,12:33:17.757,41.166271,12:33:17.757,0.003297,65
12:33:17.758,1.927869,12:33:17.758,41.351995,12:33:17.758,0.003626,65
12:33:17.759,1.826565,12:33:17.759,41.183155,12:33:17.759,0.001982,65
12:33:17.760,1.910985,12:33:17.760,41.132503,12:33:17.760,0.003297,65
12:33:17.761,1.910985,12:33:17.761,41.115619,12:33:17.761,0.00264,65
12:33:17.762,1.775913,12:33:17.762,41.233807,12:33:17.762,0.003626,65
