Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
16:48:24.931,4.443584,16:48:24.931,39.528523,16:48:24.931,0.002311,122,45,65
16:48:24.932,4.443584,16:48:24.932,39.42722,16:48:24.932,0.002969,122,45,65
16:48:24.933,4.578656,16:48:24.933,39.3428,16:48:24.933,0.003297,122,45,65
16:48:24.934,4.561772,16:48:24.934,39.376568,16:48:24.934,0.00264,122,45,65
16:48:24.935,4.494236,16:48:24.935,39.460988,16:48:24.935,0.001653,122,45,65
16:48:24.936,4.528004,16:48:24.936,39.42722,16:48:24.936,0.003297,122,45,65
16:48:24.937,4.544888,16:48:24.937,39.224612,16:48:24.937,0.002969,122,45,65
16:48:24.938,4.494236,16:48:24.938,39.25838,16:48:24.938,0.003297,122,45,65
16:48:24.939,4.443584,16:48:24.939,39.410336,16:48:24.939,0.001653,122,45,65
16:48:24.940,4.460468,16:48:24.940,39.309032,16:48:24.940,0.001653,122,45,65
16:48:24.941,4.528004,16:48:24.941,39.25838,16:48:24.941,0.000338,122,45,65
16:48:24.942,4.4267,16:48:24.942,39.123308,16:48:24.942,0.000996,122,45,65
16:48:24.943,4.409816,16:48:24.943,39.3428,16:48:24.943,0.002311,122,45,65
16:48:24.944,4.4267,16:48:24.944,39.25838,16:48:24.944,0.002311,122,45,65
16:48:24.945,4.460468,16:48:24.945,39.190844,16:48:24.945,0.001325,122,45,65
16:48:24.946,4.477352,16:48:24.946,39.140192,16:48:24.946,0.000996,122,45,65
16:48:24.947,4.443584,16:48:24.947,39.275264,16:48:24.947,0.002311,122,45,65
16:48:24.948,4.460468,16:48:24.948,39.207728,16:48:24.948,0.003297,122,45,65
16:48:24.949,4.578656,16:48:24.949,39.17396,16:48:24.949,0.001982,122,45,65
16:48:24.950,4.528004,16:48:24.950,39.106424,16:48:24.950,0.002969,122,45,65
16:48:24.951,4.51112,16:48:24.951,39.241496,16:48:24.951,0.001653,122,45,65
16:48:24.952,4.528004,16:48:24.952,39.241496,16:48:24.952,0.002969,122,45,65
16:48:24.953,4.578656,16:48:24.953,39.08954,16:48:24.953,0.00264,122,45,65
16:48:24.954,4.561772,16:48:24.954,39.106424,16:48:24.954,0.002311,122,45,65
16:48:24.955,4.528004,16:48:24.955,39.325916,16:48:24.955,0.001653,122,45,65
16:48:24.956,4.477352,16:48:24.956,39.309032,16:48:24.956,0.001653,122,45,65
16:48:24.957,4.460468,16:48:24.957,39.25838,16:48:24.957,0.00264,122,45,65
16:48:24.958,4.477352,16:48:24.958,39.106424,16:48:24.958,0.001325,122,45,65
16:48:24.959,4.477352,16:48:24.959,39.123308,16:48:24.959,0.00264,122,45,65
16:48:24.960,4.443584,16:48:24.960,39.157076,16:48:24.960,0.002311,122,45,65
16:48:24.961,4.392932,16:48:24.961,39.072656,16:48:24.961,0.001653,122,45,65
16:48:24.962,4.392932,16:48:24.962,39.157076,16:48:24.962,0.002969,122,45,65
16:48:24.963,4.392932,16:48:24.963,39.106424,16:48:24.963,0.002969,122,45,65
16:48:24.964,4.477352,16:48:24.964,39.190844,16:48:24.964,0.001982,122,45,65
16:48:24.965,4.443584,16:48:24.965,39.055772,16:48:24.965,0.001325,122,45,65
16:48:24.966,4.443584,16:48:24.966,39.038888,16:48:24.966,0.00264,122,45,65
16:48:24.967,4.409816,16:48:24.967,39.08954,16:48:24.967,0.002311,122,45,65
16:48:24.968,4.4267,16:48:24.968,39.08954,16:48:24.968,0.000667,122,45,65
16:48:24.969,4.494236,16:48:24.969,38.988236,16:48:24.969,0.002311,122,45,65
16:48:24.970,4.51112,16:48:24.970,39.106424,16:48:24.970,0.00264,122,45,65
16:48:24.971,4.477352,16:48:24.971,39.123308,16:48:24.971,0.004284,122,45,65
16:48:24.972,4.409816,16:48:24.972,39.123308,16:48:24.972,0.003626,122,45,65
16:48:24.973,4.528004,16:48:24.973,39.038888,16:48:24.973,0.002969,122,45,65
16:48:24.974,4.494236,16:48:24.974,38.954468,16:48:24.974,0.001653,122,45,65
16:48:24.975,4.494236,16:48:24.975,39.038888,16:48:24.975,0.00264,122,45,65
16:48:24.976,4.460468,16:48:24.976,39.00512,16:48:24.976,0.001325,122,45,65
16:48:24.977,4.477352,16:48:24.977,38.9207,16:48:24.977,0.003297,122,45,65
16:48:24.978,4.4267,16:48:24.978,38.937584,16:48:24.978,0.000338,122,45,65
16:48:24.979,4.443584,16:48:24.979,39.00512,16:48:24.979,0.002311,122,45,65
16:48:24.980,4.392932,16:48:24.980,39.055772,16:48:24.980,0.000996,122,45,65
16:48:24.981,4.376048,16:48:24.981,38.886932,16:48:24.981,0.001982,122,45,65
16:48:24.982,4.460468,16:48:24.982,38.853164,16:48:24.982,0.001325,122,45,65
16:48:24.983,4.460468,16:48:24.983,38.886932,16:48:24.983,0.001653,122,45,65
16:48:24.984,4.4267,16:48:24.984,38.886932,16:48:24.984,0.00264,122,45,65
16:48:24.985,4.409816,16:48:24.985,38.819396,16:48:24.985,0.003297,122,45,65
16:48:24.986,4.409816,16:48:24.986,38.819396,16:48:24.986,0.001982,122,45,65
16:48:24.987,4.443584,16:48:24.987,38.819396,16:48:24.987,0.001982,122,45,65
16:48:24.988,4.376048,16:48:24.988,38.903816,16:48:24.988,0.001653,122,45,65
16:48:24.989,4.561772,16:48:24.989,38.75186,16:48:24.989,0.002311,122,45,65
16:48:24.990,4.544888,16:48:24.990,38.768744,16:48:24.990,0.002311,122,45,65
16:48:24.991,4.494236,16:48:24.991,38.785628,16:48:24.991,0.001653,122,45,65
16:48:24.992,4.528004,16:48:24.992,38.802512,16:48:24.992,0.001653,122,45,65
16:48:24.993,4.477352,16:48:24.993,38.75186,16:48:24.993,0.001653,122,45,65
16:48:24.994,4.629308,16:48:24.994,38.718092,16:48:24.994,0.001653,122,45,65
16:48:24.995,4.544888,16:48:24.995,38.734976,16:48:24.995,0.002969,122,45,65
16:48:24.996,4.578656,16:48:24.996,38.83628,16:48:24.996,0.000996,122,45,65
16:48:24.997,4.561772,16:48:24.997,38.718092,16:48:24.997,0.00264,122,45,65
16:48:24.998,4.561772,16:48:24.998,38.566136,16:48:24.998,0.001325,122,45,65
16:48:24.999,4.544888,16:48:24.999,38.66744,16:48:24.999,0.00264,122,45,65
16:48:25.000,4.460468,16:48:25.000,38.734976,16:48:25.000,0.001653,122,45,65
16:48:25.001,4.528004,16:48:25.001,38.633672,16:48:25.001,0.003297,122,45,65
